!,1794,3560,3518,SF,*,*,*,*,*,*,*
(,1800,3565,-1183,SSO,*,*,*,*,*,*,*
),1799,3564,-1325,SSC,*,*,*,*,*,*,*
",",1792,3558,788,SC,*,*,*,*,*,*,*
.,1794,3560,3518,SF,*,*,*,*,*,*,*
/,1792,3558,788,SC,*,*,*,*,*,*,*
:,1792,3558,788,SC,*,*,*,*,*,*,*
?,1794,3560,3518,SF,*,*,*,*,*,*,*
[,1800,3565,-1183,SSO,*,*,*,*,*,*,*
],1799,3564,-1325,SSC,*,*,*,*,*,*,*
·,1792,3558,788,SC,*,*,*,*,*,*,*
“,1800,3565,-1183,SSO,*,*,*,*,*,*,*
”,1799,3564,-1325,SSC,*,*,*,*,*,*,*
…,1793,3559,-1297,SE,*,*,*,*,*,*,*
「,1800,3565,-1183,SSO,*,*,*,*,*,*,*
」,1799,3564,-1325,SSC,*,*,*,*,*,*,*
